"X","t","pval","FC","log2FC"
"INVS",-10.2046256532317,1.48712096086087e-18,0.714651249752089,-0.484688717331413
"WDTC1",-17.6865844501243,6.04802657084756e-43,0.730456301635353,-0.453130126170249
"CAMLG",-7.06984335541739,2.53857483404536e-11,0.900768523628509,-0.150771679989715
"ATP1B1",1.98435701027591,0.049220935802396,1.29559317754208,0.373612776184819
"GAD2",2.4073519329625,0.0170177952342174,2.84061235725695,1.50620196830317
"RINL",4.80006538022754,2.7217796287852e-06,1.34848652718839,0.431341107590869
"TMEM80",-5.67214332640439,4.45248895814935e-08,0.938841702609344,-0.0910461682249897
"TMEM30A",-6.27515936286536,2.55452403913519e-09,0.89797110896166,-0.15525906598803
"SAE1",23.5961119576332,3.17140422417609e-60,1.61019301407231,0.687233634771405
"CYP11A1",-27.1174089686078,2.7203229621772e-74,1.73192007328713,0.792372352389708
"NDUFA4L2",-0.738388871242265,0.461374197959108,1.43305300488502,0.519091972105669
"TMEM68",9.16907769473616,2.7311530684214e-17,1.42978090386272,0.515794088872303
"CBWD6",7.93318467791072,4.22857264000415e-13,1.67438236157691,0.743629019023774
"NUTM2F",3.44948574798113,0.00074139463779635,1.4139846660364,0.499766474918745
"CFHR5",-0.702878645055611,0.483532674667658,0.214576774036732,-2.22043416881821
"PLIN4",-24.0989544908291,1.74358571726799e-51,0.0305471899487769,-5.03281651786248
"VOPP1",15.430867994422,6.01734822761283e-33,1.88013688589391,0.910837703079016
"ZZZ3",-7.91225009407628,4.84882107377728e-13,0.807520261685638,-0.308429635617443
"CCDC132",-4.99119049429804,1.33391123326308e-06,0.947431023810898,-0.0779071808682868
"ALB",-12.1808136777279,3.61110675934726e-23,0.845969169196566,-0.241323008678926
"IFNA1",-3.03052709453471,0.00297724516589722,0.456137911136527,-1.13245801253276
"MT4",3.97903944634897,7.37336717715275e-05,Inf,Inf
"ZC3H4",6.58541723398627,8.50379747487058e-10,1.1502973740752,0.202006873903395
"OR56A1",5.39087073448195,8.58001319399013e-08,Inf,Inf
"AP4E1",-5.12052383051834,7.7819317892452e-07,0.925887659106703,-0.111090937559201
"STARD6",2.45327718903452,0.015195524534439,1.79027871630941,0.840184208347336
"SLPI",-14.3019643471753,9.61963375503601e-33,0.972320462622644,-0.0404962114683163
"S100A7A",8.96085284567411,5.97677325060838e-17,18.2419619386787,4.18918899582569
"TENC1",-22.6485797942614,4.02353428366217e-49,0.32514800239927,-1.62083153451845
"SOAT1",4.43020653115377,1.57914875653726e-05,1.39890015737797,0.484292997816558
"SNORD113-4",NA,NA,NA,NA
"DIAPH2",-14.6332797584509,7.64837693642773e-31,0.493925765757237,-1.01763386567166
"SDK2",-9.57519970709755,3.56206948138309e-17,0.639290487296793,-0.645456468325191
"COL12A1",11.7514748330699,1.91304195895881e-24,2.73869446454365,1.45348832443145
"KCNMA1",-11.7686954900303,1.3627109163304e-24,0.705772432045889,-0.502725016324609
"MTURN",-23.3029096914037,3.65426581831078e-48,0.169787454008948,-2.55819823616004
"C9orf129",0.171704710446465,0.863819871663645,1.15937874097458,0.213351936893993
"ZNF251",4.47606309647306,1.23534684724018e-05,1.22937836698417,0.297929003718615
"UVSSA",-0.110455237574084,0.912186324913457,1.07262127478597,0.10114077373037
"LINC00310",-4.50906325273094,1.48916575239957e-05,0.509016198824757,-0.974216525831421
"ASAH2B",2.79837561216093,0.0058569642708354,1.47598911317903,0.561682080191979
"INS-IGF2",-5.8266009120873,4.37168620656373e-08,0.986774969511873,-0.0192069741207156
"BBS7",-16.7018592407779,7.52845675860102e-38,0.681064033132289,-0.554137649161753
"B4GALT7",10.7983633293073,1.59025460492049e-20,1.51207034414935,0.596525257809487
"C1orf61",-5.63399872586605,1.04597937853501e-07,0.729805798675241,-0.454415480979521
"PRR5L",1.39088318919554,0.166295912930172,1.15368042873792,0.20624365056568
"FAM95B1",-12.0203156164698,6.51648847291571e-25,0.623326786166728,-0.681939384000328
"DENND4A",-12.3364393597343,8.21307625051174e-26,0.715922415687605,-0.482124843385907
"SPAG5",32.3103568736165,3.10007214393857e-73,7.20366102439052,2.84873029535625
"PARM1",-19.9645937970021,1.857504898055e-48,0.459014982718061,-1.12338684943942
"RNF222",-5.37869205510961,3.04432085115258e-07,1.14066433784643,0.189874313652483
"SPINK13",3.44359361741748,0.00066913939115317,6.75188715693195,2.75529079274547
"GLTSCR1",11.363453180241,9.05422298074546e-22,1.4936480497417,0.578840244037922
"ARFGAP3",-5.58400498584095,5.95557871765686e-08,0.955368485746694,-0.0658708067392963
"FAM57A",4.1624846610407,4.49960056596465e-05,1.31720442819829,0.397479267128628
"TINF2",-4.17988236604533,3.95993022893674e-05,0.972149360093197,-0.0407501097479092
"CCDC152",-25.8434665335294,7.98496031189714e-63,0.349529476407978,-1.51651396925964
"SNORD115-4",NA,NA,NA,NA
"HLA-DRB6",2.71305876051559,0.00746558199900126,1.62598429429624,0.701313322203618
"COX4I2",-8.42366172229615,4.42841530541713e-14,0.548012823355163,-0.867718442624098
"SEMA3D",-30.5235460843966,2.18554716292221e-81,0.213872898818743,-2.22517441377253
"TMEM86B",4.73314308033004,4.08314205764953e-06,1.42390754562497,0.509855475097446
"TSACC",20.0362485950739,1.56735882278872e-48,4.35334179483372,2.12212329518978
"DMRT2",-18.6107428954332,6.74065090988354e-39,0.1410219986033,-2.82600786275731
"ITGB7",6.03348560383685,9.37990062030679e-09,1.92169079326834,0.942376220135985
"DPY30",23.8645834897839,6.4776958283143e-59,1.78833638045894,0.838618128454077
"PDE1A",-19.564460772517,6.75322028424913e-46,0.398929254903484,-1.32579516961575
"TMEM63A",1.11359234910811,0.267184956425547,1.11717576959605,0.15985618848461
"AGAP4",-4.5444977169429,1.02137838254392e-05,0.94114256046253,-0.0875148217800889
"TRIML2",8.4833847357445,1.29959300948009e-15,9.76348301401197,3.28739590502611
"TSPEAR",-9.04169787638204,1.70323592764336e-16,1.24220148746442,0.312899200442148
"METTL6",13.0271238622672,6.27386683992448e-29,1.27721612448303,0.353002671741954
"AGR2",5.83866419457941,3.5036761242239e-08,4.96557284977778,2.31196016284136
"RDH14",7.91131575088319,1.13859265025083e-13,1.16661456169067,0.222327987105734
"LRRC16A",3.58894857310321,0.000458102907560551,1.22732608022516,0.295518600121378
"HOXC4",9.84629185721134,1.39579410080715e-20,1.978912000202,0.98470745892664
"ARL14",10.0070786193708,2.66711514557215e-20,9.07560747688033,3.18199421330684
"SARS2",4.67448897056128,6.23893588884447e-06,1.25050591177224,0.322511877882208
"CARD16",-7.85869482522623,2.04407765619632e-13,0.912022391388224,-0.132858849940117
