geneSymbol,rank
220951_s_at,7453
217757_at,17958
221131_at,3237
218075_at,11721
218434_s_at,2512
205969_at,6079
202851_at,14844
202852_s_at,9577
205434_s_at,3921
214998_at,906
214956_at,1381
205435_s_at,2722
211186_s_at,14661
201511_at,418
207225_at,3639
201000_at,8134
222064_s_at,10335
202170_s_at,1546
202169_s_at,7243
209165_at,15218
205986_at,2486
209459_s_at,6930
209460_at,16165
206527_at,1207
203504_s_at,15882
203505_at,8029
216066_at,11681
215465_at,5088
210099_at,18075
212772_s_at,16425
210100_s_at,6615
204343_at,16414
210082_at,6274
213353_at,10089
217504_at,15889
219577_s_at,14789
204719_at,14385
209994_s_at,1238
209993_at,9003
211224_s_at,17385
208288_at,1871
207819_s_at,3229
203192_at,6730
203191_at,5241
209620_s_at,2682
206317_s_at,789
207321_s_at,1719
214209_s_at,6530
202804_at,17889
202805_s_at,4915
215873_x_at,14009
213485_s_at,2952
206155_at,4521
209641_s_at,5124
214979_at,12207
208161_s_at,13467
203196_at,11778
209380_s_at,279
208480_s_at,1833
214033_at,12908
215559_at,15190
210246_s_at,10891
210245_at,1519
208561_at,16946
208462_s_at,3008
208562_s_at,15553
205142_x_at,5814
216418_at,1773
202850_at,12226
203981_s_at,7879
203982_s_at,1013
201873_s_at,1460
201872_s_at,4504
200045_at,14706
207622_s_at,10631
209247_s_at,5462
207623_at,8968
209246_at,14242
202394_s_at,3696
211113_s_at,5829
204567_s_at,6276
209735_at,10271
207593_at,5753
220383_at,8905
218633_x_at,14512
221927_s_at,10470
202740_at,13586
210006_at,14858
205566_at,12367
63825_at,8274
87100_at,7166
221815_at,15636
213017_at,11623
45288_at,14256
221678_at,16909
221679_s_at,9114
221552_at,17909
219101_x_at,17712
209028_s_at,17108
209027_s_at,3713
207268_x_at,2821
211793_s_at,6256
216113_at,13378
209856_x_at,10777
220518_at,1060
202123_s_at,7330
206411_s_at,17273
200965_s_at,17861
210461_s_at,4007
205730_s_at,3731
216929_x_at,15890
216716_at,616
214504_at,12272
212895_s_at,18049
214671_s_at,17916
213497_at,9707
202025_x_at,17069
214274_s_at,15567
214358_at,14291
212186_at,5294
214584_x_at,3611
43427_at,11094
49452_at,7499
221928_at,17780
219986_s_at,6890
221669_s_at,76
206069_s_at,2252
206068_s_at,5554
202502_at,17937
202366_at,6304
205355_at,13428
200710_at,11392
207692_s_at,3684
205679_x_at,1234
217161_x_at,7602
205212_s_at,1079
205213_at,6196
212476_at,5169
212477_at,8688
205412_at,947
202324_s_at,3719
202323_s_at,14600
219413_at,14056
204617_s_at,6355
