gene,drug_PRL
1007_s_at,10857
1053_at,19005
117_at,10904
121_at,8898
1255_g_at,2362
1294_at,21536
1316_at,8559
1320_at,9904
1405_i_at,8801
1431_at,18148
1438_at,4498
1487_at,11938
1494_f_at,10929
1598_g_at,16964
160020_at,4448
1729_at,18999
1773_at,10179
177_at,2793
179_at,14481
1861_at,10174
200000_s_at,15994
200001_at,10720
200002_at,7283
200003_s_at,5688
200004_at,18687
200005_at,7054
200006_at,18348
200007_at,16240
200008_s_at,5029
200009_at,10089
200010_at,2106
200011_s_at,17808
200012_x_at,3667
200013_at,7414
200014_s_at,18829
200015_s_at,21484
200016_x_at,14272
200017_at,13862
200018_at,9986
200019_s_at,8997
200020_at,11573
200021_at,2343
200022_at,316
200023_s_at,4985
200024_at,3194
200025_s_at,10934
200026_at,5483
200027_at,13092
200028_s_at,10033
200029_at,4940
200030_s_at,4939
200031_s_at,4858
200032_s_at,14398
200033_at,17573
200034_s_at,15166
200035_at,4328
200036_s_at,9553
200037_s_at,17590
200038_s_at,4540
200039_s_at,3990
200040_at,19566
200041_s_at,15941
200042_at,6021
200043_at,15526
200044_at,11574
200045_at,14326
200046_at,5898
200047_s_at,16679
200048_s_at,14648
200049_at,13998
200050_at,16729
200051_at,20524
200052_s_at,10943
200053_at,12129
200054_at,10288
200055_at,4103
200056_s_at,18708
200057_s_at,9787
200058_s_at,17392
200059_s_at,8708
200060_s_at,15841
200061_s_at,5462
200062_s_at,642
200063_s_at,7927
200064_at,8013
200065_s_at,9622
200066_at,12706
200067_x_at,5906
200068_s_at,12779
200069_at,11430
200070_at,17745
200071_at,18417
200072_s_at,13869
200073_s_at,14579
200074_s_at,8344
200075_s_at,14192
200076_s_at,14879
200077_s_at,7018
200078_s_at,19010
200079_s_at,14453
200080_s_at,7985
200081_s_at,4088
200082_s_at,8019
200083_at,16334
200084_at,13300
200085_s_at,10864
200086_s_at,8866
200087_s_at,16953
200088_x_at,299
200089_s_at,18544
200090_at,10647
200091_s_at,16694
200092_s_at,8233
200093_s_at,18188
200094_s_at,18612
200095_x_at,603
200096_s_at,17810
200097_s_at,18586
200098_s_at,19046
200099_s_at,10370
200593_s_at,16486
200594_x_at,17868
200595_s_at,17712
200596_s_at,17814
200597_at,22253
200598_s_at,10077
200599_s_at,15107
200600_at,10947
200601_at,18770
200602_at,12824
200603_at,19471
200604_s_at,7192
200605_s_at,12648
200606_at,11802
200607_s_at,824
200608_s_at,19102
200609_s_at,8849
200610_s_at,13425
200611_s_at,11196
200612_s_at,5649
200613_at,14875
200614_at,15350
200615_s_at,13798
200616_s_at,10274
200617_at,20533
200618_at,17752
200619_at,11911
200620_at,4885
200621_at,6623
200622_x_at,18713
200623_s_at,21344
200624_s_at,3940
200625_s_at,11980
200626_s_at,9538
200627_at,12901
